iso_3_code,adm0_name,date,cases
LAO,Lao People's Democratic Republic,1/1/2024,65
LAO,Lao People's Democratic Republic,1/8/2024,126
LAO,Lao People's Democratic Republic,1/15/2024,223
LAO,Lao People's Democratic Republic,1/22/2024,170
LAO,Lao People's Democratic Republic,1/29/2024,148
LAO,Lao People's Democratic Republic,2/5/2024,105
LAO,Lao People's Democratic Republic,2/12/2024,129
LAO,Lao People's Democratic Republic,2/19/2024,92
LAO,Lao People's Democratic Republic,2/26/2024,113
LAO,Lao People's Democratic Republic,3/4/2024,158
LAO,Lao People's Democratic Republic,3/11/2024,170
LAO,Lao People's Democratic Republic,3/18/2024,107
LAO,Lao People's Democratic Republic,3/25/2024,103
LAO,Lao People's Democratic Republic,4/1/2024,190
LAO,Lao People's Democratic Republic,4/8/2024,144
LAO,Lao People's Democratic Republic,4/15/2024,127
LAO,Lao People's Democratic Republic,4/22/2024,232
LAO,Lao People's Democratic Republic,4/29/2024,154
LAO,Lao People's Democratic Republic,5/6/2024,136
LAO,Lao People's Democratic Republic,5/13/2024,233
LAO,Lao People's Democratic Republic,5/20/2024,159
LAO,Lao People's Democratic Republic,5/27/2024,175
LAO,Lao People's Democratic Republic,6/3/2024,302
LAO,Lao People's Democratic Republic,6/10/2024,336
LAO,Lao People's Democratic Republic,6/17/2024,443
LAO,Lao People's Democratic Republic,6/24/2024,605
LAO,Lao People's Democratic Republic,7/1/2024,818
LAO,Lao People's Democratic Republic,7/8/2024,890
LAO,Lao People's Democratic Republic,7/15/2024,914
LAO,Lao People's Democratic Republic,7/22/2024,990
LAO,Lao People's Democratic Republic,7/29/2024,895
LAO,Lao People's Democratic Republic,8/5/2024,924
LAO,Lao People's Democratic Republic,8/12/2024,1000
LAO,Lao People's Democratic Republic,8/19/2024,940
LAO,Lao People's Democratic Republic,8/26/2024,728
LAO,Lao People's Democratic Republic,9/2/2024,758
LAO,Lao People's Democratic Republic,9/9/2024,544
LAO,Lao People's Democratic Republic,9/16/2024,744
